date,persons_involved,killed,injured,county,pedestrian_involved,accident_type,light_conditions
2011-11-17 12:04:00,2,1,2,Harju maakond,0,Kokkupõrge,Valge aeg
2011-11-18 08:26:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-11-18 23:10:00,2,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-11-21 10:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-11-22 17:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-11-23 01:05:00,1,0,4,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2011-11-23 16:24:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-23 16:55:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-24 08:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-11-24 14:24:00,2,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2011-11-25 07:40:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-25 17:20:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-25 21:41:00,1,0,2,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2011-11-26 12:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
